Date,Citibank,Morgan Stanley,Goldman Sachs,J.P. Morgan
2005-04-21,0.0030349535,0.0197250651,0.0074762675,0.0080553227
2005-04-22,0.0010806138,-0.0181711606,-0.0087527256,-0.0048516551
2005-04-25,0.0099308633,0.0193035025,0.0148766289,0.0086033556
2005-04-26,-0.0034202139,-0.0132760638,-0.0001891148,-0.0025588856
2005-04-27,0.0092234832,0.012663217,0.0192962635,0.0119725763
2005-04-28,-0.01827844,-0.0144587925,-0.0141982087,-0.0135211268
2005-04-29,0.0166703011,0.0432196678,0.0052715616,0.0134209595
2005-05-02,-0.0091567673,-0.0613835055,-0.0218185409,0.0022540996
2005-05-03,0.0058027339,0.0006073902,-0.0008615355,-0.0019679505
2005-05-04,0.0036325043,0.0194253954,0.0182044069,0.0169013521
2005-05-05,-0.0019161677,-0.0025804088,-0.0091276374,-0.0055400557
2005-05-06,-0.0061859942,-0.0039801194,-0.0058879675,-0.0080780218
2005-05-09,0.0055806096,0.0139860342,0.007833397,0.0098286434
2005-05-10,-0.0100320427,-0.026206936,-0.0321326919,-0.0228031152
2005-05-11,0.0068995517,0.0087009311,0.0160611006,0.0045532158
2005-05-12,-0.0062098373,-0.0090270014,-0.0340240867,-0.013314363
2005-05-13,-0.01077354,-0.023886659,-0.0239473256,-0.0106231116
2005-05-16,0.0193857414,0.0120281623,0.0061336945,0.00812545
2005-05-17,0.0076923205,-0.002868832,-0.0007112376,0.013528986
2005-05-18,0.0122985325,0.0053431566,0.0125063958,0.0238568595
2005-05-19,0.0020946795,0.0251431736,0.0054227856,0.0038834953
2005-05-20,-0.0008361079,-0.0029910667,0.0095884835,-0.0035920974
2005-05-23,-0.0041841004,-0.00220002,-0.00385833,-0.0041597614
2005-05-24,0.002310937,-0.0096211467,-0.0110239346,-0.0005569758
2005-05-25,-0.0054496038,0.0018214936,-0.0233982924,0.0005572862
2005-05-26,-0.0014752624,-0.0048485253,-0.0066838252,0.000835394
2005-05-27,-0.0021105952,0.0,-0.0113871431,-0.0038953813
2005-05-31,-0.0035955627,-0.0060901139,0.0209424084,-0.0013966202
2005-06-01,0.0129484312,0.0226715895,0.0116922974,0.0002796643
2005-06-02,-0.0002095683,-0.0157779309,-0.0098337491,-0.0005591723
2005-06-03,-0.0031439949,-0.0075080967,-0.0037882155,-0.005316256
2005-06-06,0.0027333641,0.0040891638,0.0115107396,-0.001125204
2005-06-07,-0.0006290375,0.0006108328,-0.0002031701,-0.0008447762
2005-06-08,0.0018883634,0.0061050062,-0.0005081707,0.0053550733
2005-06-09,-0.0014659937,0.0038430826,0.0162684192,-0.0047658539
2005-06-10,-0.0008389136,0.0050372757,-0.0090044425,-0.001971831
2005-06-13,-0.000839618,0.0200481151,0.0021201312,0.0019757268
2005-06-14,-0.003991584,-0.0055032035,-0.0096715593,0.0028168451
2005-06-15,-0.0002109386,0.0001976878,0.0090539061,0.0030899159
2005-06-16,0.0029535738,0.025489053,0.0348825479,0.0053207226
2005-06-17,-0.0016827682,-0.0100192867,0.0112031269,0.0050139273
2005-06-20,-0.0018963211,0.0035033086,-0.00529868,-0.0008315687
2005-06-21,-0.0010555203,-0.0114429788,-0.005908,-0.000277337
2005-06-22,0.0025358875,-0.0088287422,-0.0016562549,0.0061042451
2005-06-23,-0.0118043973,0.0237529889,-0.0043915682,-0.009100883
2005-06-24,0.0014931997,0.027068793,0.0161733096,-0.0100194823
2005-06-27,-0.0038338403,-0.0013177711,-0.004533626,0.0005622716
2005-06-28,0.0053453067,-0.0005654854,0.0073643607,0.0092722113
2005-06-29,-0.0051042619,0.0056582422,-0.0112543095,0.0011136136
2005-06-30,-0.0117571615,-0.0159414666,-0.0074910399,-0.0177975255
2005-07-01,-0.0015141294,0.0106727271,0.0067633995,-0.0073612401
2005-07-05,0.0064991334,0.0139543846,0.0045760004,-0.0025670279
2005-07-06,-0.0034438355,-0.0076250511,0.0035859953,-0.0105805831
2005-07-07,-0.0006479222,-0.0003748313,0.0053113953,-0.0040462141
2005-07-08,0.0051869331,-0.0041245032,0.014889568,0.0101567618
2005-07-11,-0.0086003009,0.0084714045,0.0157122193,0.004309049
2005-07-12,-0.0023856126,-0.0011200672,-0.0006523157,0.0082952233
2005-07-13,-0.005652187,-0.0007474678,0.0070869267,0.0068085674
2005-07-14,0.016615667,0.0046755189,0.0050926204,0.0056353054
2005-07-15,-0.0017204043,-0.0014892405,-0.0004606449,0.0047632952
2005-07-18,-0.0305902879,-0.0044742171,-0.0023963318,-0.0097602619
2005-07-19,-0.0133333333,0.0020598501,0.0136733465,-0.0084482967
2005-07-20,-0.0042792658,0.0044851805,-0.0010025519,-0.0014200228
2005-07-21,-0.0013571726,-0.0068837023,-0.0124076361,0.0068259954
2005-07-22,0.0061155425,0.0116148181,0.0081293025,0.0056496042
2005-07-25,0.0024763079,-0.0007407593,-0.007422313,-0.0044943542
2005-07-26,0.0015720009,-0.0046330616,-0.005539134,-0.0019751694
2005-07-27,-0.0047085336,-0.00372372,0.013275167,-0.0005654792
2005-07-28,-0.0119395992,0.0011213232,0.0047640494,0.0031117682
2005-07-29,-0.0082079479,-0.0097069442,-0.0199689527,-0.0090242529
2005-08-01,0.0045977011,-0.0039585109,-0.0033494603,0.0045532158
2005-08-02,0.0084668467,0.0147615254,0.022404723,0.0070821532
2005-08-03,-0.0004538507,0.0149197877,0.0123265708,0.00168782
2005-08-04,-0.0029511646,-0.0169055133,-0.0146117341,-0.004212356
2005-08-05,-0.0066029689,-0.0158878131,0.0041189657,-0.0059221378
2005-08-08,-0.0075635757,-0.0104464194,0.0019143756,-0.0073758298
2005-08-09,0.0069284065,0.009213129,0.0142844049,0.001143098
2005-08-10,-0.0068807339,0.0104602316,0.0049335844,-0.0065658009
2005-08-11,0.0048498984,0.0163749103,0.018834241,0.0002874138
2005-08-12,0.0025281682,-0.0212963333,-0.0042929473,-0.0143636882
2005-08-15,0.0038972534,0.0141911074,0.0089748877,0.0099096762
2005-08-16,0.0079926925,-0.0119402803,-0.0225865182,-0.0020202019
2005-08-17,-0.0009061939,-0.0020770582,-0.008476133,-0.0034703006
2005-08-18,0.0024943447,-0.0104067932,-0.0025195627,0.0058038597
2005-08-19,-0.0011309658,-0.0049712812,0.003788895,-0.0034621754
2005-08-22,0.0009057835,0.0048039968,0.0038644739,-0.000868645
2005-08-23,-0.0144796244,0.0021036718,0.0008953089,-0.0046363376
2005-08-24,-0.0117080026,-0.0166031101,-0.0161896686,-0.0145560416
2005-08-25,0.0051103647,0.0017465554,0.0046368034,0.0079763963
2005-08-26,-0.0039288467,-0.0011623015,-0.0067873303,-0.0137748246
2005-08-29,0.0102088028,-0.006594259,0.0036446651,0.0077265374
2005-08-30,-0.0064308407,-0.0037095275,-0.0028143985,-0.0097315836
