Date,Citibank,Morgan Stanley,Goldman Sachs,J.P. Morgan
2007-05-09,0.0074460162,0.0046701809,0.0072016449,0.0142993324
2007-05-10,-0.0169992827,-0.0194073904,-0.015315359,-0.0225564094
2007-05-11,-0.0016917744,0.0091254447,0.0197220703,0.0028846538
2007-05-14,-0.0047072117,-0.0029359952,-0.0058022286,-0.0061361455
2007-05-15,-0.001324162,-0.0167255473,-0.0079582105,0.003858711
2007-05-16,0.0401590283,0.007187338,0.0121668417,0.0182587165
2007-05-17,-0.0020032345,0.0010703615,0.0011888688,-0.0079275009
2007-05-18,0.003649635,0.0104550911,0.0130178157,-0.0003805175
2007-05-21,-0.0029090473,0.0065843384,-0.0048189634,0.0003806623
2007-05-22,0.0043763018,0.0002335708,0.0064564456,-0.0051369862
2007-05-23,-0.0012709005,0.0014014131,-0.0094058079,-0.0057372154
2007-05-24,-0.0014542593,-0.0150437434,-0.0125142211,-0.0076938254
2007-05-25,0.0034589915,-0.0023679494,-0.0006646314,0.0009691607
2007-05-29,-0.0038099346,0.0122240562,0.0129029531,0.0034856895
2007-05-30,0.0052814135,0.0062140813,0.0155839519,0.0046314357
2007-05-31,-0.0128622754,-0.0090887788,-0.0050861767,-0.00441796
2007-06-01,0.0003669517,0.0121119354,-0.0004765618,0.0013505691
2007-06-04,-0.0066042491,-0.0025560823,-0.0043344457,-0.0063584198
2007-06-05,-0.0046168052,-0.0023295982,-0.0015236863,-0.0067868722
2007-06-06,-0.0105751614,0.0036193461,-0.008763494,-0.0128855913
2007-06-07,-0.0151884046,-0.0143089346,-0.0321090953,-0.0146360954
2007-06-08,0.0154226501,0.0279711426,0.0227675298,0.0118426335
2007-06-11,0.0026252091,0.0165327558,0.0093308719,0.0003967467
2007-06-12,-0.0162708281,-0.0207816126,0.0030375154,-0.0214158636
2007-06-13,0.0205322966,0.0284890552,0.0254114235,0.0190476806
2007-06-14,-0.0001862444,0.0014579455,-0.0337698983,0.0005965202
2007-06-15,0.0057759939,-0.0091825305,0.0019490676,0.0047694952
2007-06-18,-0.0003705298,0.0002260059,0.0034484239,-0.0025712223
2007-06-19,0.0055596741,-0.0079095706,0.0110146715,0.0083283363
2007-06-20,-0.0151123339,-0.0054670044,-0.0156011766,-0.0273352813
2007-06-21,0.0041166765,-0.0003435525,0.0044711807,0.0076829965
2007-06-22,-0.0232948203,-0.0308168515,-0.0198325259,-0.02247189
2007-06-25,-0.0137377453,-0.0007091844,-0.0254495915,-0.0073891624
2007-06-26,-0.0104469409,-0.0050863496,-0.0118575572,0.004962717
2007-06-27,0.0129031789,0.0143859111,0.0240930291,0.0131688071
2007-06-28,0.0,-0.005157091,-0.0016869329,-0.0056864945
2007-06-29,-0.0100365803,-0.0117813388,-0.0100931993,-0.010416626
2007-07-02,0.006823942,-0.1496184484,0.0112110404,0.0144479048
2007-07-03,0.0042601702,0.0264965505,0.024500457,0.0038656763
2007-07-05,-0.0069417203,-0.0038240781,-0.0143843062,-0.011147122
2007-07-06,0.0038834951,0.0020564025,0.0104825227,0.0036892805
2007-07-09,-0.001934236,-0.0058830486,-0.0015202826,-0.0036757198
2007-07-10,-0.011627907,-0.0302780743,-0.0278549078,-0.0262349451
2007-07-11,0.0080391686,0.002696608,-0.0016583794,0.0130499479
2007-07-12,0.0278156947,0.0247699922,0.0164728312,0.0290878448
2007-07-13,-0.0060560406,0.0118784527,0.0085795999,0.0104986879
2007-07-16,-0.0062832976,-0.0131039991,-0.0080115179,-0.0043955445
2007-07-17,0.0051733127,0.0076071228,-0.0045372052,0.0018060605
2007-07-18,-0.0163933976,-0.0274536727,-0.0201002239,-0.0208332741
2007-07-19,-0.0091085504,-0.0136909108,-0.0153495647,-0.0053191897
2007-07-20,-0.007823196,-0.0330566271,-0.0271623598,-0.021801687
2007-07-23,0.0025626218,0.0020719106,-0.0043702486,-0.0086206684
2007-07-24,-0.0304758156,-0.0319006946,-0.0336031956,-0.0383881638
2007-07-25,-0.0020279862,0.0047291836,0.0252839271,-0.0015438906
2007-07-26,-0.0284495018,-0.0206498782,-0.039574763,-0.0262866799
2007-07-27,-0.0175695333,-0.0020154574,-0.012658882,0.0034028583
2007-07-30,0.0046838023,0.0037284137,0.0160395074,0.0117567262
